User ID,Name,Age,Gender,Number of Visits,Duration of Stay,Features Used
54ac54ce-f665-48b9-96b4-a6a8f784cdaf,Rebecca Evans,51,Non-binary,73,8.451545715370061,"['Feature B', 'Feature C', 'Feature A', 'Feature D']"
559fdb53-ed3c-470c-92ea-b3259cc0bac8,Paul Silva,32,Female,19,6.745854901632385,"['Feature A', 'Feature B', 'Feature D', 'Feature C']"
f35c4e9c-dc4e-41aa-b2c2-ec7bded21cf9,Samuel Young,65,Male,77,1.0254487406262476,['Feature D']
fb2665a7-8f6e-44be-98e9-1d6fd2fc4836,Tracy Gonzalez,29,Non-binary,92,2.062239697144289,"['Feature D', 'Feature C']"
37bae16e-78b6-4f0e-a316-ded1a12376ec,Eugene Mueller,60,Female,89,2.9624063252658805,['Feature D']
4e414b6b-a858-42ae-b25e-e0520da5740f,Tracy Wilson,60,Male,9,4.62841283661955,"['Feature A', 'Feature B']"
eac21e0e-ae13-4126-87c1-db2d7e968bc5,Sara Brown,61,Non-binary,19,6.368444842736063,"['Feature B', 'Feature A', 'Feature C']"
18230cec-10f4-42be-99d9-66321eb0c4ad,Thomas Banks,59,Female,19,3.756096070476876,['Feature B']
459f8675-7c20-483a-9fcf-c11b75bf25c2,Megan Morris,65,Female,19,2.3668093959210035,"['Feature D', 'Feature C']"
dd7497f4-b5ad-4926-9bf6-55affbd97b13,Brianna Davis,26,Male,31,6.778245489594615,"['Feature B', 'Feature C', 'Feature D']"
e3060954-6359-4986-877d-d2f6b6385ce8,Debra Gibbs,25,Male,44,1.608625645182252,"['Feature C', 'Feature D']"
6baa4efa-dbfe-4da5-92f6-5ccb94a97f94,Susan Gonzalez,29,Non-binary,32,4.636982399627679,"['Feature B', 'Feature C']"
0140e078-b3a2-4915-92c2-0febda8fe02f,William Moore,34,Male,70,7.236466856448381,"['Feature C', 'Feature B', 'Feature A']"
3b798b6d-1b1c-4f84-bf9a-d24d7fe33125,Timothy Lee,48,Non-binary,79,9.492352773977041,"['Feature A', 'Feature D', 'Feature C', 'Feature B']"
1fb224c2-9c72-4b03-b7fa-93b7db41fdbe,Carmen Cummings,51,Non-binary,21,2.014370187682797,"['Feature D', 'Feature B', 'Feature C', 'Feature A']"
f3a8a5c2-cf8e-4e05-8ada-e914aa54659c,Suzanne Lozano,36,Non-binary,48,3.023381382193242,"['Feature B', 'Feature C', 'Feature A', 'Feature D']"
abe65480-a251-443b-a41f-9cab04b98ea7,Richard Taylor,43,Female,5,1.3053207459837326,"['Feature D', 'Feature A', 'Feature B']"
8b964116-8ab9-49a6-b9aa-8f071e89fbae,Christy Frye,32,Non-binary,45,3.4882594263426085,"['Feature D', 'Feature A']"
222f12dd-16c3-47c7-b692-be20639bcc4d,Peter Reilly,59,Male,20,3.0596390613711133,['Feature B']
0d4235b8-ed44-43e7-b5d1-510e5635ff34,Gary Peck,33,Non-binary,79,6.769425485967653,"['Feature B', 'Feature D', 'Feature C']"
178310aa-0127-4c77-84b6-d6ed4df9b839,Leslie Willis,56,Non-binary,64,6.248715922849643,['Feature C']
68a526c7-1777-4fc2-bc43-850b671f630b,Brittany Farmer,38,Male,68,3.410692929913603,"['Feature B', 'Feature C', 'Feature D']"
ab18f443-28f4-4044-a8ef-705513278150,Kelly Parsons,23,Male,22,3.976399920972645,['Feature D']
