Champion ID,Name,Age,Gender,Specialization
4dd0f25e-37e0-49df-b7fa-3cc4a32c3ae7,Natasha Smith,28,Female,Specialization B
98fe2b51-983d-4fd4-b932-68cd78da2135,Christine Robertson,58,Male,Specialization B
b84e4164-9e61-467c-b23f-3f081206534a,Kenneth Hoffman,26,Non-binary,Specialization B
8b964116-8ab9-49a6-b9aa-8f071e89fbae,Christy Frye,32,Non-binary,Specialization B
2a21fdc1-dc1c-4abd-9567-cb5e4199701f,Dr. Christy Woods,35,Female,Specialization A
c068832a-86a5-4928-b0d3-97c055534a64,Margaret Holmes,22,Non-binary,Specialization A
edcd87ab-12a0-4ebb-98d4-8787de12347a,Lisa Fisher,22,Male,Specialization A
178310aa-0127-4c77-84b6-d6ed4df9b839,Leslie Willis,56,Non-binary,Specialization A
68a526c7-1777-4fc2-bc43-850b671f630b,Brittany Farmer,38,Male,Specialization A
d7eef7d0-5b80-4e3b-8949-9f6c6f87d5b3,Brian Lowe,42,Non-binary,Specialization A
5c750a67-fc44-4644-be75-7f695c9b17c9,Terry White,46,Female,Specialization B
ea74617d-658f-44a9-a1b0-d5d4affde955,Joshua Valdez,40,Female,Specialization A
7c43da1a-f6b0-45a4-9f75-ca6399887a1f,Charles Fletcher,40,Female,Specialization A
0c385e25-3121-4f0a-9468-df522988dad6,Brandon Ortiz,60,Male,Specialization B
2f4312e5-1027-4bf7-b370-4818b5848119,Jacqueline Collins,27,Male,Specialization C
f62a5e80-2ed5-465c-ab79-08bdcde8033c,Kathryn Myers,27,Non-binary,Specialization B
1fb224c2-9c72-4b03-b7fa-93b7db41fdbe,Carmen Cummings,51,Non-binary,Specialization B
bc0a50b4-3d88-42f8-b3a5-032b5afdb30f,Timothy Barker,44,Non-binary,Specialization B
39fcb7fc-1f25-4e80-8676-b66da7c2ce2f,Peggy Henry,34,Non-binary,Specialization A
b0d248aa-7b67-4998-bdf6-70ec4ab16952,Anna Kline,58,Non-binary,Specialization A
