Employee ID,Name,Rank,Role,Location,Age,Gender
c4857be6-d063-46e0-bf81-1264dd234c36,Michelle Ward,Mid,Designer,South Benjaminburgh,37,Male
e0f160eb-7bb8-4dc2-9e11-00d2d6fd05a5,Lauren Haas,Lead,Analyst,Juliaburgh,56,Female
1b61c5c0-9139-4a67-bbd4-657f09895fa3,John Burke,Lead,Designer,South Andrew,59,Non-binary
8d9bfb67-de03-4f67-826f-e7003b01ddbb,Mr. James Cook,Mid,Analyst,Yoderberg,22,Male
85891058-16aa-459b-8430-9c1b08513eb9,Laurie Armstrong,Lead,Engineer,Port Jeremyshire,63,Male
0d536df0-91c3-447e-8daa-c04ed1918151,Alex Leach,Junior,Analyst,South Matthewville,61,Non-binary
b82d55f1-6d3f-41e2-bafb-1582f3f0f813,Christina Herrera,Senior,Engineer,East Thomas,35,Non-binary
0c4e549e-2769-4cd3-a406-d19c944aae10,Richard Anthony Jr.,Junior,Manager,Lake Steven,44,Non-binary
d8ca49dc-1d8a-4d63-a9d5-f8b3f2a0b6ec,Michael Jones,Junior,Manager,Harthaven,61,Male
36c0e2f8-9d1f-4dfe-b643-25905d527e25,Antonio Hall,Lead,Designer,New Jamiebury,64,Non-binary
688cadd5-d40e-40bd-905d-e742d3781895,Benjamin Fischer,Senior,Designer,East Danielle,64,Non-binary
5c179596-cc3d-4810-8c21-a2219a6147a0,Stephanie Huang,Junior,Analyst,West Joshua,38,Male
15fb7bea-50b3-49cc-b330-3c1e660d4f3a,Heather Webb,Lead,Engineer,Hannahfort,25,Non-binary
e67bff96-f837-428f-be44-107bd9b74db3,Richard Harvey,Junior,Engineer,Lake Scottside,27,Non-binary
4df04850-c8e2-4af5-938a-60788499f576,Scott Chan,Junior,Manager,Tonyton,29,Female
0b4f94a3-6496-43d8-9b5a-a1222a6d0e3c,Christina Owens,Senior,Designer,New Catherinemouth,51,Non-binary
230bc8d7-e580-4eea-852f-28aa5002d55f,Misty Chan,Junior,Manager,Anthonyburgh,54,Female
9e9abe4f-232e-4767-8090-6417676f1a88,Brandon Harrell DDS,Lead,Designer,New Ellenside,38,Female
62109d2a-e3f7-4192-8d5e-55547b7f02fc,Ann Butler,Mid,Designer,West Virginia,51,Non-binary
f8190108-5106-4aac-8640-704a6e6586ab,James Riddle,Mid,Analyst,New Jeremiahmouth,59,Non-binary
